"","instant","dteday","season","yr","mnth","holiday","weekday","workingday","weathersit","temp","atemp","hum","windspeed","count","cnt","type"
"21",21,"2011-01-21","winter",0,1,0,"Fri",1,1,0.1775,0.157833,0.457083,0.353242,75,1543,"casual"
"22",22,"2011-01-22","winter",0,1,0,"Sat",0,1,0.0591304,0.0790696,0.4,0.17197,93,981,"casual"
"23",23,"2011-01-23","winter",0,1,0,"Sun",0,1,0.0965217,0.0988391,0.436522,0.2466,150,986,"casual"
"24",24,"2011-01-24","winter",0,1,0,"Mon",1,1,0.0973913,0.11793,0.491739,0.15833,86,1416,"casual"
"25",25,"2011-01-25","winter",0,1,0,"Tues",1,2,0.223478,0.234526,0.616957,0.129796,186,1985,"casual"
"26",26,"2011-01-26","winter",0,1,0,"Wed",1,3,0.2175,0.2036,0.8625,0.29385,34,506,"casual"
"27",27,"2011-01-27","winter",0,1,0,"Thu",1,1,0.195,0.2197,0.6875,0.113837,15,431,"casual"
"28",28,"2011-01-28","winter",0,1,0,"Fri",1,2,0.203478,0.223317,0.793043,0.1233,38,1167,"casual"
"29",29,"2011-01-29","winter",0,1,0,"Sat",0,1,0.196522,0.212126,0.651739,0.145365,123,1098,"casual"
"30",30,"2011-01-30","winter",0,1,0,"Sun",0,1,0.216522,0.250322,0.722174,0.0739826,140,1096,"casual"
"31",31,"2011-01-31","winter",0,1,0,"Mon",1,2,0.180833,0.18625,0.60375,0.187192,42,1501,"casual"
"32",32,"2011-02-01","winter",0,2,0,"Tues",1,2,0.192174,0.23453,0.829565,0.053213,47,1360,"casual"
"33",33,"2011-02-02","winter",0,2,0,"Wed",1,2,0.26,0.254417,0.775417,0.264308,72,1526,"casual"
"34",34,"2011-02-03","winter",0,2,0,"Thu",1,1,0.186957,0.177878,0.437826,0.277752,61,1550,"casual"
"35",35,"2011-02-04","winter",0,2,0,"Fri",1,2,0.211304,0.228587,0.585217,0.127839,88,1708,"casual"
"36",36,"2011-02-05","winter",0,2,0,"Sat",0,2,0.233333,0.243058,0.929167,0.161079,100,1005,"casual"
"37",37,"2011-02-06","winter",0,2,0,"Sun",0,1,0.285833,0.291671,0.568333,0.1418,354,1623,"casual"
"38",38,"2011-02-07","winter",0,2,0,"Mon",1,1,0.271667,0.303658,0.738333,0.0454083,120,1712,"casual"
"39",39,"2011-02-08","winter",0,2,0,"Tues",1,1,0.220833,0.198246,0.537917,0.36195,64,1530,"casual"
"40",40,"2011-02-09","winter",0,2,0,"Wed",1,2,0.134783,0.144283,0.494783,0.188839,53,1605,"casual"
"41",41,"2011-02-10","winter",0,2,0,"Thu",1,1,0.144348,0.149548,0.437391,0.221935,47,1538,"casual"
"42",42,"2011-02-11","winter",0,2,0,"Fri",1,1,0.189091,0.213509,0.506364,0.10855,149,1746,"casual"
"43",43,"2011-02-12","winter",0,2,0,"Sat",0,1,0.2225,0.232954,0.544167,0.203367,288,1472,"casual"
"44",44,"2011-02-13","winter",0,2,0,"Sun",0,1,0.316522,0.324113,0.457391,0.260883,397,1589,"casual"
"45",45,"2011-02-14","winter",0,2,0,"Mon",1,1,0.415,0.39835,0.375833,0.417908,208,1913,"casual"
"46",46,"2011-02-15","winter",0,2,0,"Tues",1,1,0.266087,0.254274,0.314348,0.291374,140,1815,"casual"
"47",47,"2011-02-16","winter",0,2,0,"Wed",1,1,0.318261,0.3162,0.423478,0.251791,218,2115,"casual"
"48",48,"2011-02-17","winter",0,2,0,"Thu",1,1,0.435833,0.428658,0.505,0.230104,259,2475,"casual"
"49",49,"2011-02-18","winter",0,2,0,"Fri",1,1,0.521667,0.511983,0.516667,0.264925,579,2927,"casual"
"50",50,"2011-02-19","winter",0,2,0,"Sat",0,1,0.399167,0.391404,0.187917,0.507463,532,1635,"casual"
"51",51,"2011-02-20","winter",0,2,0,"Sun",0,1,0.285217,0.27733,0.407826,0.223235,639,1812,"casual"
"52",52,"2011-02-21","winter",0,2,1,"Mon",0,2,0.303333,0.284075,0.605,0.307846,195,1107,"casual"
"53",53,"2011-02-22","winter",0,2,0,"Tues",1,1,0.182222,0.186033,0.577778,0.195683,74,1450,"casual"
"54",54,"2011-02-23","winter",0,2,0,"Wed",1,1,0.221739,0.245717,0.423043,0.094113,139,1917,"casual"
"55",55,"2011-02-24","winter",0,2,0,"Thu",1,2,0.295652,0.289191,0.697391,0.250496,100,1807,"casual"
"56",56,"2011-02-25","winter",0,2,0,"Fri",1,2,0.364348,0.350461,0.712174,0.346539,120,1461,"casual"
"57",57,"2011-02-26","winter",0,2,0,"Sat",0,1,0.2825,0.282192,0.537917,0.186571,424,1969,"casual"
"58",58,"2011-02-27","winter",0,2,0,"Sun",0,1,0.343478,0.351109,0.68,0.125248,694,2402,"casual"
"59",59,"2011-02-28","winter",0,2,0,"Mon",1,2,0.407273,0.400118,0.876364,0.289686,81,1446,"casual"
"60",60,"2011-03-01","winter",0,3,0,"Tues",1,1,0.266667,0.263879,0.535,0.216425,137,1851,"casual"
"61",61,"2011-03-02","winter",0,3,0,"Wed",1,1,0.335,0.320071,0.449583,0.307833,231,2134,"casual"
"62",62,"2011-03-03","winter",0,3,0,"Thu",1,1,0.198333,0.200133,0.318333,0.225754,123,1685,"casual"
"63",63,"2011-03-04","winter",0,3,0,"Fri",1,2,0.261667,0.255679,0.610417,0.203346,214,1944,"casual"
"64",64,"2011-03-05","winter",0,3,0,"Sat",0,2,0.384167,0.378779,0.789167,0.251871,640,2077,"casual"
"65",65,"2011-03-06","winter",0,3,0,"Sun",0,2,0.376522,0.366252,0.948261,0.343287,114,605,"casual"
"66",66,"2011-03-07","winter",0,3,0,"Mon",1,1,0.261739,0.238461,0.551304,0.341352,244,1872,"casual"
"67",67,"2011-03-08","winter",0,3,0,"Tues",1,1,0.2925,0.3024,0.420833,0.12065,316,2133,"casual"
"68",68,"2011-03-09","winter",0,3,0,"Wed",1,2,0.295833,0.286608,0.775417,0.22015,191,1891,"casual"
"69",69,"2011-03-10","winter",0,3,0,"Thu",1,3,0.389091,0.385668,0,0.261877,46,623,"casual"
"70",70,"2011-03-11","winter",0,3,0,"Fri",1,2,0.316522,0.305,0.649565,0.23297,247,1977,"casual"
"71",71,"2011-03-12","winter",0,3,0,"Sat",0,1,0.329167,0.32575,0.594583,0.220775,724,2132,"casual"
"72",72,"2011-03-13","winter",0,3,0,"Sun",0,1,0.384348,0.380091,0.527391,0.270604,982,2417,"casual"
"73",73,"2011-03-14","winter",0,3,0,"Mon",1,1,0.325217,0.332,0.496957,0.136926,359,2046,"casual"
"74",74,"2011-03-15","winter",0,3,0,"Tues",1,2,0.317391,0.318178,0.655652,0.184309,289,2056,"casual"
"75",75,"2011-03-16","winter",0,3,0,"Wed",1,2,0.365217,0.36693,0.776522,0.203117,321,2192,"casual"
"76",76,"2011-03-17","winter",0,3,0,"Thu",1,1,0.415,0.410333,0.602917,0.209579,424,2744,"casual"
"77",77,"2011-03-18","winter",0,3,0,"Fri",1,1,0.54,0.527009,0.525217,0.231017,884,3239,"casual"
"78",78,"2011-03-19","winter",0,3,0,"Sat",0,1,0.4725,0.466525,0.379167,0.368167,1424,3117,"casual"
"79",79,"2011-03-20","winter",0,3,0,"Sun",0,1,0.3325,0.32575,0.47375,0.207721,1047,2471,"casual"
"80",80,"2011-03-21","spring",0,3,0,"Mon",1,2,0.430435,0.409735,0.737391,0.288783,401,2077,"casual"
"81",81,"2011-03-22","spring",0,3,0,"Tues",1,1,0.441667,0.440642,0.624583,0.22575,460,2703,"casual"
"82",82,"2011-03-23","spring",0,3,0,"Wed",1,2,0.346957,0.337939,0.839565,0.234261,203,2121,"casual"
"83",83,"2011-03-24","spring",0,3,0,"Thu",1,2,0.285,0.270833,0.805833,0.243787,166,1865,"casual"
"84",84,"2011-03-25","spring",0,3,0,"Fri",1,1,0.264167,0.256312,0.495,0.230725,300,2210,"casual"
"85",85,"2011-03-26","spring",0,3,0,"Sat",0,1,0.265833,0.257571,0.394167,0.209571,981,2496,"casual"
"86",86,"2011-03-27","spring",0,3,0,"Sun",0,2,0.253043,0.250339,0.493913,0.1843,472,1693,"casual"
"87",87,"2011-03-28","spring",0,3,0,"Mon",1,1,0.264348,0.257574,0.302174,0.212204,222,2028,"casual"
"88",88,"2011-03-29","spring",0,3,0,"Tues",1,1,0.3025,0.292908,0.314167,0.226996,317,2425,"casual"
"89",89,"2011-03-30","spring",0,3,0,"Wed",1,2,0.3,0.29735,0.646667,0.172888,168,1536,"casual"
"90",90,"2011-03-31","spring",0,3,0,"Thu",1,3,0.268333,0.257575,0.918333,0.217646,179,1685,"casual"
"91",91,"2011-04-01","spring",0,4,0,"Fri",1,2,0.3,0.283454,0.68625,0.258708,307,2227,"casual"
"92",92,"2011-04-02","spring",0,4,0,"Sat",0,2,0.315,0.315637,0.65375,0.197146,898,2252,"casual"
"93",93,"2011-04-03","spring",0,4,0,"Sun",0,1,0.378333,0.378767,0.48,0.182213,1651,3249,"casual"
"94",94,"2011-04-04","spring",0,4,0,"Mon",1,1,0.573333,0.542929,0.42625,0.385571,734,3115,"casual"
"95",95,"2011-04-05","spring",0,4,0,"Tues",1,2,0.414167,0.39835,0.642083,0.388067,167,1795,"casual"
"96",96,"2011-04-06","spring",0,4,0,"Wed",1,1,0.390833,0.387608,0.470833,0.263063,413,2808,"casual"
"97",97,"2011-04-07","spring",0,4,0,"Thu",1,1,0.4375,0.433696,0.602917,0.162312,571,3141,"casual"
"98",98,"2011-04-08","spring",0,4,0,"Fri",1,2,0.335833,0.324479,0.83625,0.226992,172,1471,"casual"
"99",99,"2011-04-09","spring",0,4,0,"Sat",0,2,0.3425,0.341529,0.8775,0.133083,879,2455,"casual"
"100",100,"2011-04-10","spring",0,4,0,"Sun",0,2,0.426667,0.426737,0.8575,0.146767,1188,2895,"casual"
"101",101,"2011-04-11","spring",0,4,0,"Mon",1,2,0.595652,0.565217,0.716956,0.324474,855,3348,"casual"
"102",102,"2011-04-12","spring",0,4,0,"Tues",1,2,0.5025,0.493054,0.739167,0.274879,257,2034,"casual"
"103",103,"2011-04-13","spring",0,4,0,"Wed",1,2,0.4125,0.417283,0.819167,0.250617,209,2162,"casual"
"104",104,"2011-04-14","spring",0,4,0,"Thu",1,1,0.4675,0.462742,0.540417,0.1107,529,3267,"casual"
"105",105,"2011-04-15","spring",0,4,1,"Fri",0,1,0.446667,0.441913,0.67125,0.226375,642,3126,"casual"
"106",106,"2011-04-16","spring",0,4,0,"Sat",0,3,0.430833,0.425492,0.888333,0.340808,121,795,"casual"
"107",107,"2011-04-17","spring",0,4,0,"Sun",0,1,0.456667,0.445696,0.479583,0.303496,1558,3744,"casual"
"108",108,"2011-04-18","spring",0,4,0,"Mon",1,1,0.5125,0.503146,0.5425,0.163567,669,3429,"casual"
"109",109,"2011-04-19","spring",0,4,0,"Tues",1,2,0.505833,0.489258,0.665833,0.157971,409,3204,"casual"
"110",110,"2011-04-20","spring",0,4,0,"Wed",1,1,0.595,0.564392,0.614167,0.241925,613,3944,"casual"
"111",111,"2011-04-21","spring",0,4,0,"Thu",1,1,0.459167,0.453892,0.407083,0.325258,745,4189,"casual"
"112",112,"2011-04-22","spring",0,4,0,"Fri",1,2,0.336667,0.321954,0.729583,0.219521,177,1683,"casual"
"113",113,"2011-04-23","spring",0,4,0,"Sat",0,2,0.46,0.450121,0.887917,0.230725,1462,4036,"casual"
"114",114,"2011-04-24","spring",0,4,0,"Sun",0,2,0.581667,0.551763,0.810833,0.192175,1710,4191,"casual"
"115",115,"2011-04-25","spring",0,4,0,"Mon",1,1,0.606667,0.5745,0.776667,0.185333,773,4073,"casual"
"116",116,"2011-04-26","spring",0,4,0,"Tues",1,1,0.631667,0.594083,0.729167,0.3265,678,4400,"casual"
"117",117,"2011-04-27","spring",0,4,0,"Wed",1,2,0.62,0.575142,0.835417,0.3122,547,3872,"casual"
"118",118,"2011-04-28","spring",0,4,0,"Thu",1,2,0.6175,0.578929,0.700833,0.320908,569,4058,"casual"
"119",119,"2011-04-29","spring",0,4,0,"Fri",1,1,0.51,0.497463,0.457083,0.240063,878,4595,"casual"
"120",120,"2011-04-30","spring",0,4,0,"Sat",0,1,0.4725,0.464021,0.503333,0.235075,1965,5312,"casual"
"121",121,"2011-05-01","spring",0,5,0,"Sun",0,2,0.451667,0.448204,0.762083,0.106354,1138,3351,"casual"
"122",122,"2011-05-02","spring",0,5,0,"Mon",1,2,0.549167,0.532833,0.73,0.183454,847,4401,"casual"
"123",123,"2011-05-03","spring",0,5,0,"Tues",1,2,0.616667,0.582079,0.697083,0.342667,603,4451,"casual"
"124",124,"2011-05-04","spring",0,5,0,"Wed",1,2,0.414167,0.40465,0.737083,0.328996,255,2633,"casual"
"125",125,"2011-05-05","spring",0,5,0,"Thu",1,1,0.459167,0.441917,0.444167,0.295392,614,4433,"casual"
"126",126,"2011-05-06","spring",0,5,0,"Fri",1,1,0.479167,0.474117,0.59,0.228246,894,4608,"casual"
"127",127,"2011-05-07","spring",0,5,0,"Sat",0,1,0.52,0.512621,0.54125,0.16045,1612,4714,"casual"
"128",128,"2011-05-08","spring",0,5,0,"Sun",0,1,0.528333,0.518933,0.631667,0.0746375,1401,4333,"casual"
"129",129,"2011-05-09","spring",0,5,0,"Mon",1,1,0.5325,0.525246,0.58875,0.176,664,4362,"casual"
"130",130,"2011-05-10","spring",0,5,0,"Tues",1,1,0.5325,0.522721,0.489167,0.115671,694,4803,"casual"
"131",131,"2011-05-11","spring",0,5,0,"Wed",1,1,0.5425,0.5284,0.632917,0.120642,550,4182,"casual"
"132",132,"2011-05-12","spring",0,5,0,"Thu",1,1,0.535,0.523363,0.7475,0.189667,695,4864,"casual"
"133",133,"2011-05-13","spring",0,5,0,"Fri",1,2,0.5125,0.4943,0.863333,0.179725,692,4105,"casual"
"134",134,"2011-05-14","spring",0,5,0,"Sat",0,2,0.520833,0.500629,0.9225,0.13495,902,3409,"casual"
"135",135,"2011-05-15","spring",0,5,0,"Sun",0,2,0.5625,0.536,0.867083,0.152979,1582,4553,"casual"
"136",136,"2011-05-16","spring",0,5,0,"Mon",1,1,0.5775,0.550512,0.787917,0.126871,773,3958,"casual"
"137",137,"2011-05-17","spring",0,5,0,"Tues",1,2,0.561667,0.538529,0.837917,0.277354,678,4123,"casual"
"138",138,"2011-05-18","spring",0,5,0,"Wed",1,2,0.55,0.527158,0.87,0.201492,536,3855,"casual"
"139",139,"2011-05-19","spring",0,5,0,"Thu",1,2,0.530833,0.510742,0.829583,0.108213,735,4575,"casual"
"140",140,"2011-05-20","spring",0,5,0,"Fri",1,1,0.536667,0.529042,0.719583,0.125013,909,4917,"casual"
"141",141,"2011-05-21","spring",0,5,0,"Sat",0,1,0.6025,0.571975,0.626667,0.12065,2258,5805,"casual"
"142",142,"2011-05-22","spring",0,5,0,"Sun",0,1,0.604167,0.5745,0.749583,0.148008,1576,4660,"casual"
"143",143,"2011-05-23","spring",0,5,0,"Mon",1,2,0.631667,0.590296,0.81,0.233842,836,4274,"casual"
"144",144,"2011-05-24","spring",0,5,0,"Tues",1,2,0.66,0.604813,0.740833,0.207092,659,4492,"casual"
"145",145,"2011-05-25","spring",0,5,0,"Wed",1,1,0.660833,0.615542,0.69625,0.154233,740,4978,"casual"
"146",146,"2011-05-26","spring",0,5,0,"Thu",1,1,0.708333,0.654688,0.6775,0.199642,758,4677,"casual"
"147",147,"2011-05-27","spring",0,5,0,"Fri",1,1,0.681667,0.637008,0.65375,0.240679,871,4679,"casual"
"148",148,"2011-05-28","spring",0,5,0,"Sat",0,1,0.655833,0.612379,0.729583,0.230092,2001,4758,"casual"
"149",149,"2011-05-29","spring",0,5,0,"Sun",0,1,0.6675,0.61555,0.81875,0.213938,2355,4788,"casual"
"150",150,"2011-05-30","spring",0,5,1,"Mon",0,1,0.733333,0.671092,0.685,0.131225,1549,4098,"casual"
"151",151,"2011-05-31","spring",0,5,0,"Tues",1,1,0.775,0.725383,0.636667,0.111329,673,3982,"casual"
"152",152,"2011-06-01","spring",0,6,0,"Wed",1,2,0.764167,0.720967,0.677083,0.207092,513,3974,"casual"
"153",153,"2011-06-02","spring",0,6,0,"Thu",1,1,0.715,0.643942,0.305,0.292287,736,4968,"casual"
"154",154,"2011-06-03","spring",0,6,0,"Fri",1,1,0.62,0.587133,0.354167,0.253121,898,5312,"casual"
"155",155,"2011-06-04","spring",0,6,0,"Sat",0,1,0.635,0.594696,0.45625,0.123142,1869,5342,"casual"
"156",156,"2011-06-05","spring",0,6,0,"Sun",0,2,0.648333,0.616804,0.6525,0.138692,1685,4906,"casual"
"157",157,"2011-06-06","spring",0,6,0,"Mon",1,1,0.678333,0.621858,0.6,0.121896,673,4548,"casual"
"158",158,"2011-06-07","spring",0,6,0,"Tues",1,1,0.7075,0.65595,0.597917,0.187808,763,4833,"casual"
"159",159,"2011-06-08","spring",0,6,0,"Wed",1,1,0.775833,0.727279,0.622083,0.136817,676,4401,"casual"
"160",160,"2011-06-09","spring",0,6,0,"Thu",1,2,0.808333,0.757579,0.568333,0.149883,563,3915,"casual"
"161",161,"2011-06-10","spring",0,6,0,"Fri",1,1,0.755,0.703292,0.605,0.140554,815,4586,"casual"
"162",162,"2011-06-11","spring",0,6,0,"Sat",0,1,0.725,0.678038,0.654583,0.15485,1729,4966,"casual"
"163",163,"2011-06-12","spring",0,6,0,"Sun",0,1,0.6925,0.643325,0.747917,0.163567,1467,4460,"casual"
"164",164,"2011-06-13","spring",0,6,0,"Mon",1,1,0.635,0.601654,0.494583,0.30535,863,5020,"casual"
"165",165,"2011-06-14","spring",0,6,0,"Tues",1,1,0.604167,0.591546,0.507083,0.269283,727,4891,"casual"
"166",166,"2011-06-15","spring",0,6,0,"Wed",1,1,0.626667,0.587754,0.471667,0.167912,769,5180,"casual"
"167",167,"2011-06-16","spring",0,6,0,"Thu",1,2,0.628333,0.595346,0.688333,0.206471,545,3767,"casual"
"168",168,"2011-06-17","spring",0,6,0,"Fri",1,1,0.649167,0.600383,0.735833,0.143029,863,4844,"casual"
"169",169,"2011-06-18","spring",0,6,0,"Sat",0,1,0.696667,0.643954,0.670417,0.119408,1807,5119,"casual"
"170",170,"2011-06-19","spring",0,6,0,"Sun",0,2,0.699167,0.645846,0.666667,0.102,1639,4744,"casual"
"171",171,"2011-06-20","spring",0,6,0,"Mon",1,2,0.635,0.595346,0.74625,0.155475,699,4010,"casual"
"172",172,"2011-06-21","summer",0,6,0,"Tues",1,2,0.680833,0.637646,0.770417,0.171025,774,4835,"casual"
"173",173,"2011-06-22","summer",0,6,0,"Wed",1,1,0.733333,0.693829,0.7075,0.172262,661,4507,"casual"
"174",174,"2011-06-23","summer",0,6,0,"Thu",1,2,0.728333,0.693833,0.703333,0.238804,746,4790,"casual"
"175",175,"2011-06-24","summer",0,6,0,"Fri",1,1,0.724167,0.656583,0.573333,0.222025,969,4991,"casual"
"176",176,"2011-06-25","summer",0,6,0,"Sat",0,1,0.695,0.643313,0.483333,0.209571,1782,5202,"casual"
"177",177,"2011-06-26","summer",0,6,0,"Sun",0,1,0.68,0.637629,0.513333,0.0945333,1920,5305,"casual"
"178",178,"2011-06-27","summer",0,6,0,"Mon",1,2,0.6825,0.637004,0.658333,0.107588,854,4708,"casual"
"179",179,"2011-06-28","summer",0,6,0,"Tues",1,1,0.744167,0.692558,0.634167,0.144283,732,4648,"casual"
"180",180,"2011-06-29","summer",0,6,0,"Wed",1,1,0.728333,0.654688,0.497917,0.261821,848,5225,"casual"
"181",181,"2011-06-30","summer",0,6,0,"Thu",1,1,0.696667,0.637008,0.434167,0.185312,1027,5515,"casual"
"182",182,"2011-07-01","summer",0,7,0,"Fri",1,1,0.7225,0.652162,0.39625,0.102608,1246,5362,"casual"
"183",183,"2011-07-02","summer",0,7,0,"Sat",0,1,0.738333,0.667308,0.444583,0.115062,2204,5119,"casual"
"184",184,"2011-07-03","summer",0,7,0,"Sun",0,2,0.716667,0.668575,0.6825,0.228858,2282,4649,"casual"
"185",185,"2011-07-04","summer",0,7,1,"Mon",0,2,0.726667,0.665417,0.637917,0.0814792,3065,6043,"casual"
"186",186,"2011-07-05","summer",0,7,0,"Tues",1,1,0.746667,0.696338,0.590417,0.126258,1031,4665,"casual"
"187",187,"2011-07-06","summer",0,7,0,"Wed",1,1,0.72,0.685633,0.743333,0.149883,784,4629,"casual"
"188",188,"2011-07-07","summer",0,7,0,"Thu",1,1,0.75,0.686871,0.65125,0.1592,754,4592,"casual"
"189",189,"2011-07-08","summer",0,7,0,"Fri",1,2,0.709167,0.670483,0.757917,0.225129,692,4040,"casual"
"190",190,"2011-07-09","summer",0,7,0,"Sat",0,1,0.733333,0.664158,0.609167,0.167912,1988,5336,"casual"
"191",191,"2011-07-10","summer",0,7,0,"Sun",0,1,0.7475,0.690025,0.578333,0.183471,1743,4881,"casual"
"192",192,"2011-07-11","summer",0,7,0,"Mon",1,1,0.7625,0.729804,0.635833,0.282337,723,4086,"casual"
"193",193,"2011-07-12","summer",0,7,0,"Tues",1,1,0.794167,0.739275,0.559167,0.200254,662,4258,"casual"
"194",194,"2011-07-13","summer",0,7,0,"Wed",1,1,0.746667,0.689404,0.631667,0.146133,748,4342,"casual"
"195",195,"2011-07-14","summer",0,7,0,"Thu",1,1,0.680833,0.635104,0.47625,0.240667,888,5084,"casual"
"196",196,"2011-07-15","summer",0,7,0,"Fri",1,1,0.663333,0.624371,0.59125,0.182833,1318,5538,"casual"
"197",197,"2011-07-16","summer",0,7,0,"Sat",0,1,0.686667,0.638263,0.585,0.208342,2418,5923,"casual"
"198",198,"2011-07-17","summer",0,7,0,"Sun",0,1,0.719167,0.669833,0.604167,0.245033,2006,5302,"casual"
"199",199,"2011-07-18","summer",0,7,0,"Mon",1,1,0.746667,0.703925,0.65125,0.215804,841,4458,"casual"
"200",200,"2011-07-19","summer",0,7,0,"Tues",1,1,0.776667,0.747479,0.650417,0.1306,752,4541,"casual"
"201",201,"2011-07-20","summer",0,7,0,"Wed",1,1,0.768333,0.74685,0.707083,0.113817,644,4332,"casual"
"202",202,"2011-07-21","summer",0,7,0,"Thu",1,2,0.815,0.826371,0.69125,0.222021,632,3784,"casual"
"203",203,"2011-07-22","summer",0,7,0,"Fri",1,1,0.848333,0.840896,0.580417,0.1331,562,3387,"casual"
"204",204,"2011-07-23","summer",0,7,0,"Sat",0,1,0.849167,0.804287,0.5,0.131221,987,3285,"casual"
"205",205,"2011-07-24","summer",0,7,0,"Sun",0,1,0.83,0.794829,0.550833,0.169171,1050,3606,"casual"
"206",206,"2011-07-25","summer",0,7,0,"Mon",1,1,0.743333,0.720958,0.757083,0.0908083,568,3840,"casual"
"207",207,"2011-07-26","summer",0,7,0,"Tues",1,1,0.771667,0.696979,0.540833,0.200258,750,4590,"casual"
"208",208,"2011-07-27","summer",0,7,0,"Wed",1,1,0.775,0.690667,0.402917,0.183463,755,4656,"casual"
"209",209,"2011-07-28","summer",0,7,0,"Thu",1,1,0.779167,0.7399,0.583333,0.178479,606,4390,"casual"
"210",210,"2011-07-29","summer",0,7,0,"Fri",1,1,0.838333,0.785967,0.5425,0.174138,670,3846,"casual"
"211",211,"2011-07-30","summer",0,7,0,"Sat",0,1,0.804167,0.728537,0.465833,0.168537,1559,4475,"casual"
"212",212,"2011-07-31","summer",0,7,0,"Sun",0,1,0.805833,0.729796,0.480833,0.164813,1524,4302,"casual"
"213",213,"2011-08-01","summer",0,8,0,"Mon",1,1,0.771667,0.703292,0.550833,0.156717,729,4266,"casual"
"214",214,"2011-08-02","summer",0,8,0,"Tues",1,1,0.783333,0.707071,0.49125,0.20585,801,4845,"casual"
"215",215,"2011-08-03","summer",0,8,0,"Wed",1,2,0.731667,0.679937,0.6575,0.135583,467,3574,"casual"
"216",216,"2011-08-04","summer",0,8,0,"Thu",1,2,0.71,0.664788,0.7575,0.19715,799,4576,"casual"
"217",217,"2011-08-05","summer",0,8,0,"Fri",1,1,0.710833,0.656567,0.630833,0.184696,1023,4866,"casual"
"218",218,"2011-08-06","summer",0,8,0,"Sat",0,2,0.716667,0.676154,0.755,0.22825,1521,4294,"casual"
"219",219,"2011-08-07","summer",0,8,0,"Sun",0,1,0.7425,0.715292,0.752917,0.201487,1298,3785,"casual"
"220",220,"2011-08-08","summer",0,8,0,"Mon",1,1,0.765,0.703283,0.592083,0.192175,846,4326,"casual"
"221",221,"2011-08-09","summer",0,8,0,"Tues",1,1,0.775,0.724121,0.570417,0.151121,907,4602,"casual"
"222",222,"2011-08-10","summer",0,8,0,"Wed",1,1,0.766667,0.684983,0.424167,0.200258,884,4780,"casual"
"223",223,"2011-08-11","summer",0,8,0,"Thu",1,1,0.7175,0.651521,0.42375,0.164796,812,4792,"casual"
"224",224,"2011-08-12","summer",0,8,0,"Fri",1,1,0.708333,0.654042,0.415,0.125621,1051,4905,"casual"
"225",225,"2011-08-13","summer",0,8,0,"Sat",0,2,0.685833,0.645858,0.729583,0.211454,1504,4150,"casual"
"226",226,"2011-08-14","summer",0,8,0,"Sun",0,2,0.676667,0.624388,0.8175,0.222633,1338,3820,"casual"
"227",227,"2011-08-15","summer",0,8,0,"Mon",1,1,0.665833,0.616167,0.712083,0.208954,775,4338,"casual"
